date,IV,D05,D1,D2,D3,Dinf,steep,crisis
2021-04-26,0.1378212422132492,0.11921414611258906,0.1954525155821412,2.2040750494813524,5.283304967846272,8.807067126836067,8.611614611253925,False
2022-12-05,0.1924774944782257,0.03172508861876545,0.0702953334267535,6.192844278887429,10.365929786304113,15.012083067740807,14.941787734314055,False
2022-08-01,0.19940625131130219,0.036662938450987094,0.11641973146292886,8.437972919014829,12.186200434913511,16.36633271059008,16.24991297912715,False
2021-01-11,0.19013625383377075,0.11223698395724085,0.27973220685697964,3.5072213537530277,5.403029349308943,7.335533009308374,7.055800802451395,False
2021-06-03,0.12919099628925323,0.17065723423222126,0.2655556911237908,0.3862394925301789,0.46716182781318893,1.8621286170881832,1.5965729259643924,False
2022-05-06,0.26023581624031067,0.10199440267915286,0.29529585144287335,8.583308477051546,12.24750310675667,16.285328551390254,15.990032699947381,False
2021-08-30,0.11026083678007126,0.08710523488974604,0.13605576141988698,4.270535305075174,7.653657138635708,11.304830571494433,11.168774810074545,False
2022-07-21,0.20334799587726593,0.03344316970428145,0.12719148558401325,8.501858441567666,11.983833992213812,16.00835598430662,15.881164498722605,False
2020-12-17,0.16101199388504028,0.2359847149963642,0.40314348314809567,2.6687783530588636,4.712219190418191,7.809588639962684,7.406445156814589,False
2022-06-10,0.254779189825058,0.09159500902179224,0.23121020347297863,2.9907019503604926,6.227066541674451,10.421529765851965,10.190319562378987,False
2021-12-30,0.1266070008277893,0.06212711568085183,0.10373951949302465,0.15474603508340953,0.1847501420577543,0.7956790110516158,0.6919394915585911,False
2022-09-01,0.2233390063047409,0.029663137262565475,0.10724208055889947,8.033527890420302,11.641323961536775,15.792745299565327,15.685503219006428,False
2022-04-21,0.19602200388908386,0.03960385555148772,0.13269978029121796,8.462825035295378,12.105982858183928,16.248902233953654,16.116202453662435,False
2022-01-10,0.15500099956989288,0.057435021650745974,0.08410636234006363,0.12924445385137234,0.3006406484228623,3.4982335305245087,3.414127168184445,False
2022-02-14,0.23886600136756897,0.04360644059180129,0.08838286312654832,0.2167921657006462,0.4158419227828651,1.7966107224992438,1.7082278593726954,False
2022-03-17,0.20024700462818146,0.08221124282542724,0.15870191436017167,0.36603718632074994,0.6864522400906135,2.167696028136316,2.008994113776144,False
2021-09-13,0.13599300384521484,0.07579570687993911,0.21189619488139577,6.869082578771162,9.289849350305657,12.742590010127127,12.530693815245732,False
2021-02-04,0.16466400027275085,0.18178523585923811,0.28724323812888436,0.4175942398431526,0.49577478313363776,0.8141392259620484,0.526895987833164,False
2022-11-10,0.2187730073928833,0.03414076549197149,0.07386385347538932,0.1750575544142154,0.309497192733783,1.5837796156102097,1.5099157621348205,False
2020-08-17,0.16661199927330017,0.23837464569286443,0.38192810208660116,0.6178470205564113,1.569093725204606,5.007441940882263,4.625513838795662,False
2021-03-22,0.13987299799919128,0.15398423352438856,0.23979118585590728,1.926178777030531,4.718675686399396,8.116773920835659,7.876982734979752,False
2020-10-01,0.23068800568580627,0.17897080207133317,0.37858739693240484,2.123787875597279,3.9314848304665477,6.563135009460143,6.184547612527738,False
2022-10-06,0.26906901597976685,0.07271235501976626,0.2678955397390771,9.580471767170929,12.915396499628944,16.748111702820456,16.48021616308138,False
2021-05-20,0.15613099932670593,0.07116475211945379,0.14161583065727534,3.9937889957984467,7.332049865696683,11.142776077537372,11.001160246880096,False
2021-11-11,0.1322449892759323,0.05246886705544737,0.08681994013224688,1.0473661819112507,3.849830885208705,7.43299925750253,7.346179317370283,False
2020-09-21,0.23343400657176971,0.20012373649898366,0.37891571183681116,1.383435341820506,2.8293179035649008,4.755042605520881,4.37612689368407,False
2021-07-29,0.12181399762630463,0.049488836696563725,0.08266751222545618,0.13679921763897993,0.18093891577421586,0.46310873136137487,0.38044121913591866,False
2020-11-02,0.3097030222415924,0.12081343512004158,0.3228831022392195,3.2547234576538235,5.21028765319278,7.844774821687384,7.521891719448164,True
2021-10-11,0.16543999314308167,0.04347751993457868,0.0986588009593516,4.398290388482169,7.578804219843182,11.393539019905756,11.294880218946405,False
