date,D1_t,D2_t,Dinf_t,steep_t,IV,crisis
2021-04-26,0.16048708486302962,0.22317499998093349,0.47871028583397773,0.31822320097094814,0.1378212422132492,False
2022-12-05,0.05015358801264173,0.08823595140483005,0.46358316108863334,0.4134295730759916,0.1924774944782257,False
2022-08-01,0.05298079335801113,0.1248557791145677,1.3435465973670526,1.2905658040090415,0.1994062513113021,False
2021-01-11,0.1254057006846604,0.19942260749002536,0.45101569210603126,0.32560999142137087,0.1901362538337707,False
2021-06-03,0.18696449094655954,0.29721178713293833,0.599736970042968,0.41277247909640846,0.1291909962892532,False
2022-05-06,0.12981723984474047,0.29164200900476644,1.5440429890736977,1.4142257492289572,0.2602358162403106,False
2021-08-30,0.11064508447087225,0.13210984636858084,0.3065474482619354,0.19590236379106318,0.1102608367800712,False
2022-07-21,0.038901424364846435,0.07897188368170509,0.5124610347000174,0.4735596103351709,0.2033479958772659,False
2020-12-17,0.2633795890458149,0.34441779867321437,0.514237151013744,0.25085756196792913,0.1610119938850402,False
2022-06-10,0.12485057084136784,0.2622394056590338,1.5117663484739758,1.386915777632608,0.254779189825058,False
2021-12-30,0.08790623647380848,0.13584620345969592,0.5139061038725555,0.42599986739874707,0.1266070008277893,False
2022-09-01,0.03987170369374621,0.08035004166950999,0.4934118218942499,0.4535401182005037,0.2233390063047409,False
2022-04-21,0.044359768302821234,0.09663226872277676,1.3091980468722804,1.2648382785694592,0.1960220038890838,False
2022-01-10,0.04757377899315984,0.0750017685139495,0.5326399502028092,0.48506617120964934,0.1550009995698928,False
2022-02-14,0.08306890252474057,0.2090648636865027,1.7852374869442502,1.7021685844195096,0.2388660013675689,False
2022-03-17,0.13877210128035627,0.3433775973764673,2.1435905467766054,2.004818445496249,0.2002470046281814,False
2021-09-13,0.08126726493468564,0.11822221986039258,0.5923408039955034,0.5110735390608178,0.1359930038452148,False
2021-02-04,0.20999527400882465,0.33493791282710456,0.6899854996864992,0.4799902256776746,0.1646640002727508,False
2022-11-10,0.05809334253788665,0.1287941233305883,1.2187236690951837,1.160630326557297,0.2187730073928833,False
2020-08-17,0.37354469255773426,0.5190317857015277,0.9575357704453282,0.583991077887594,0.1666119992733001,False
2021-03-22,0.18735087043488427,0.23605079431395914,0.435480207982343,0.24812933754745872,0.1398729979991912,False
2020-10-01,0.22210591921415654,0.3307398386011523,0.7769507305322336,0.5548448113180771,0.2306880056858062,False
2022-10-06,0.06801790034013099,0.1519052146616672,1.3682800342740917,1.3002621339339608,0.2690690159797668,False
2021-05-20,0.09167976699012018,0.14965634037769024,0.47591617936230296,0.38423641237218276,0.1561309993267059,False
2021-11-11,0.06868571187880279,0.09124257877793639,0.5014222687575414,0.4327365568787386,0.1322449892759323,False
2020-09-21,0.26529881844630354,0.43517826328147785,0.9955620646518003,0.7302632462054968,0.2334340065717697,False
2021-07-29,0.07626978578651665,0.12511550404599925,0.43735310838001523,0.36108332259349857,0.1218139976263046,False
2020-11-02,0.10231853279353462,0.150642004767113,0.805693959893114,0.7033754270995793,0.3097030222415924,True
2021-10-11,0.04199083516343626,0.06614862947241476,0.5703137300519983,0.528322894888562,0.1654399931430816,False
